Routing Table for Node No. 2 at Time 10
|    Dest    |   Path    |    Cost    |
|    0       |   2-0   |   12   |
|    1       |   2-0-1   |   52   |
|    3       |   2-8-7-3   |   159   |
|    4       |   2-0-4   |   50   |
|    5       |   2-5   |   55   |
|    6       |   2-0-6   |   53   |
|    7       |   2-8-7   |   85   |
|    8       |   2-8   |   71   |
|    9       |   2-0-9   |   79   |
Routing Table for Node No. 2 at Time 20
|    Dest    |   Path    |    Cost    |
|    0       |   2-0   |   11   |
|    1       |   2-0-1   |   51   |
|    3       |   2-8-7-3   |   108   |
|    4       |   2-0-4   |   49   |
|    5       |   2-8-5   |   77   |
|    6       |   2-0-6   |   52   |
|    7       |   2-8-7   |   34   |
|    8       |   2-8   |   20   |
|    9       |   2-0-9   |   78   |
Routing Table for Node No. 2 at Time 30
|    Dest    |   Path    |    Cost    |
|    0       |   2-0   |   24   |
|    1       |   2-0-1   |   64   |
|    3       |   2-8-7-3   |   105   |
|    4       |   2-0-4   |   62   |
|    5       |   2-8-5   |   74   |
|    6       |   2-0-6   |   65   |
|    7       |   2-8-7   |   31   |
|    8       |   2-8   |   17   |
|    9       |   2-0-9   |   91   |
Routing Table for Node No. 2 at Time 40
|    Dest    |   Path    |    Cost    |
|    0       |   2-0   |   16   |
|    1       |   2-0-1   |   56   |
|    3       |   2-8-7-3   |   117   |
|    4       |   2-0-4   |   54   |
|    5       |   2-5   |   57   |
|    6       |   2-0-6   |   57   |
|    7       |   2-8-7   |   43   |
|    8       |   2-8   |   29   |
|    9       |   2-0-9   |   83   |
Routing Table for Node No. 2 at Time 50
|    Dest    |   Path    |    Cost    |
|    0       |   2-0   |   11   |
|    1       |   2-0-1   |   51   |
|    3       |   2-8-7-3   |   140   |
|    4       |   2-0-4   |   49   |
|    5       |   2-5   |   53   |
|    6       |   2-0-6   |   52   |
|    7       |   2-8-7   |   66   |
|    8       |   2-8   |   52   |
|    9       |   2-0-9   |   78   |
Routing Table for Node No. 2 at Time 60
|    Dest    |   Path    |    Cost    |
|    0       |   2-0   |   23   |
|    1       |   2-0-1   |   63   |
|    3       |   2-8-7-3   |   155   |
|    4       |   2-0-4   |   61   |
|    5       |   2-5   |   89   |
|    6       |   2-0-6   |   64   |
|    7       |   2-8-7   |   81   |
|    8       |   2-8   |   67   |
|    9       |   2-0-9   |   90   |
Routing Table for Node No. 2 at Time 70
|    Dest    |   Path    |    Cost    |
|    0       |   2-0   |   17   |
|    1       |   2-0-1   |   57   |
|    3       |   2-8-7-3   |   100   |
|    4       |   2-0-4   |   55   |
|    5       |   2-5   |   54   |
|    6       |   2-0-6   |   58   |
|    7       |   2-8-7   |   26   |
|    8       |   2-8   |   12   |
|    9       |   2-0-9   |   84   |
Routing Table for Node No. 2 at Time 80
|    Dest    |   Path    |    Cost    |
|    0       |   2-0   |   22   |
|    1       |   2-0-1   |   62   |
|    3       |   2-8-7-3   |   119   |
|    4       |   2-0-4   |   60   |
|    5       |   2-5   |   41   |
|    6       |   2-0-6   |   63   |
|    7       |   2-8-7   |   45   |
|    8       |   2-8   |   31   |
|    9       |   2-0-9   |   89   |
Routing Table for Node No. 2 at Time 90
|    Dest    |   Path    |    Cost    |
|    0       |   2-0   |   20   |
|    1       |   2-0-1   |   60   |
|    3       |   2-8-7-3   |   134   |
|    4       |   2-0-4   |   58   |
|    5       |   2-5   |   85   |
|    6       |   2-0-6   |   61   |
|    7       |   2-8-7   |   60   |
|    8       |   2-8   |   46   |
|    9       |   2-0-9   |   87   |
