Routing Table for Node No. 8 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-2-0   |   63   |
|    1       |   8-2-0-1   |   103   |
|    2       |   8-2   |   41   |
|    3       |   8-7-3   |   92   |
|    4       |   8-2-0-4   |   107   |
|    5       |   8-5   |   15   |
|    6       |   8-6   |   76   |
|    7       |   8-7   |   18   |
|    9       |   8-2-0-9   |   130   |
Routing Table for Node No. 8 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-2-0   |   60   |
|    1       |   8-2-0-1   |   100   |
|    2       |   8-2   |   38   |
|    3       |   8-3   |   83   |
|    4       |   8-2-0-4   |   104   |
|    5       |   8-5   |   18   |
|    6       |   8-5-6   |   82   |
|    7       |   8-7   |   20   |
|    9       |   8-2-0-9   |   127   |
Routing Table for Node No. 8 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-2-0   |   39   |
|    1       |   8-2-0-1   |   79   |
|    2       |   8-2   |   17   |
|    3       |   8-7-3   |   86   |
|    4       |   8-2-0-4   |   83   |
|    5       |   8-5   |   38   |
|    6       |   8-2-0-6   |   80   |
|    7       |   8-7   |   12   |
|    9       |   8-2-0-9   |   106   |
Routing Table for Node No. 8 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-2-0   |   54   |
|    1       |   8-2-0-1   |   94   |
|    2       |   8-2   |   32   |
|    3       |   8-3   |   90   |
|    4       |   8-2-0-4   |   98   |
|    5       |   8-5   |   62   |
|    6       |   8-6   |   55   |
|    7       |   8-7   |   18   |
|    9       |   8-2-0-9   |   121   |
Routing Table for Node No. 8 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-2-0   |   59   |
|    1       |   8-2-0-1   |   99   |
|    2       |   8-2   |   37   |
|    3       |   8-7-3   |   87   |
|    4       |   8-2-0-4   |   103   |
|    5       |   8-5   |   39   |
|    6       |   8-6   |   88   |
|    7       |   8-7   |   13   |
|    9       |   8-2-0-9   |   126   |
Routing Table for Node No. 8 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-5-2-0   |   110   |
|    1       |   8-5-2-0-1   |   150   |
|    2       |   8-5-2   |   88   |
|    3       |   8-7-3   |   92   |
|    4       |   8-5-2-0-4   |   154   |
|    5       |   8-5   |   11   |
|    6       |   8-5-6   |   75   |
|    7       |   8-7   |   18   |
|    9       |   8-5-6-9   |   145   |
Routing Table for Node No. 8 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-2-0   |   110   |
|    1       |   8-2-0-1   |   150   |
|    2       |   8-2   |   88   |
|    3       |   8-7-3   |   88   |
|    4       |   8-2-0-4   |   154   |
|    5       |   8-5   |   15   |
|    6       |   8-6   |   72   |
|    7       |   8-7   |   14   |
|    9       |   8-6-9   |   142   |
Routing Table for Node No. 8 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-2-0   |   58   |
|    1       |   8-2-0-1   |   98   |
|    2       |   8-2   |   36   |
|    3       |   8-7-3   |   89   |
|    4       |   8-2-0-4   |   102   |
|    5       |   8-5   |   54   |
|    6       |   8-6   |   90   |
|    7       |   8-7   |   15   |
|    9       |   8-2-0-9   |   125   |
Routing Table for Node No. 8 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-2-0   |   113   |
|    1       |   8-2-0-1   |   153   |
|    2       |   8-2   |   91   |
|    3       |   8-7-3   |   84   |
|    4       |   8-2-0-4   |   157   |
|    5       |   8-5   |   37   |
|    6       |   8-6   |   87   |
|    7       |   8-7   |   10   |
|    9       |   8-6-9   |   157   |
