Routing Table for Node No. 0 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-1   |   37   |
|    2       |   0-2   |   13   |
|    3       |   0-2-8-7-3   |   127   |
|    4       |   0-4   |   43   |
|    5       |   0-6-5   |   81   |
|    6       |   0-6   |   17   |
|    7       |   0-2-8-7   |   53   |
|    8       |   0-2-8   |   39   |
|    9       |   0-9   |   86   |
Routing Table for Node No. 0 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-4-1   |   39   |
|    2       |   0-2   |   23   |
|    3       |   0-2-8-7-3   |   137   |
|    4       |   0-4   |   17   |
|    5       |   0-2-5   |   95   |
|    6       |   0-6   |   35   |
|    7       |   0-2-8-7   |   63   |
|    8       |   0-2-8   |   49   |
|    9       |   0-9   |   63   |
Routing Table for Node No. 0 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-1   |   34   |
|    2       |   0-2   |   10   |
|    3       |   0-2-8-7-3   |   124   |
|    4       |   0-4   |   49   |
|    5       |   0-2-5   |   82   |
|    6       |   0-6   |   31   |
|    7       |   0-2-8-7   |   50   |
|    8       |   0-2-8   |   36   |
|    9       |   0-9   |   89   |
Routing Table for Node No. 0 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-1   |   33   |
|    2       |   0-2   |   17   |
|    3       |   0-2-8-7-3   |   131   |
|    4       |   0-4   |   45   |
|    5       |   0-2-5   |   89   |
|    6       |   0-6   |   41   |
|    7       |   0-2-8-7   |   57   |
|    8       |   0-2-8   |   43   |
|    9       |   0-9   |   62   |
Routing Table for Node No. 0 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-1   |   41   |
|    2       |   0-2   |   11   |
|    3       |   0-2-8-7-3   |   125   |
|    4       |   0-4   |   50   |
|    5       |   0-2-5   |   83   |
|    6       |   0-6   |   27   |
|    7       |   0-2-8-7   |   51   |
|    8       |   0-2-8   |   37   |
|    9       |   0-9   |   87   |
Routing Table for Node No. 0 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-1   |   31   |
|    2       |   0-2   |   16   |
|    3       |   0-2-8-7-3   |   130   |
|    4       |   0-1-4   |   53   |
|    5       |   0-2-5   |   88   |
|    6       |   0-6   |   77   |
|    7       |   0-2-8-7   |   56   |
|    8       |   0-2-8   |   42   |
|    9       |   0-9   |   96   |
Routing Table for Node No. 0 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-1   |   44   |
|    2       |   0-2   |   24   |
|    3       |   0-2-8-7-3   |   138   |
|    4       |   0-4   |   28   |
|    5       |   0-2-5   |   96   |
|    6       |   0-6   |   43   |
|    7       |   0-2-8-7   |   64   |
|    8       |   0-2-8   |   50   |
|    9       |   0-9   |   98   |
Routing Table for Node No. 0 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-1   |   30   |
|    2       |   0-2   |   21   |
|    3       |   0-2-8-7-3   |   135   |
|    4       |   0-4   |   49   |
|    5       |   0-6-5   |   83   |
|    6       |   0-6   |   19   |
|    7       |   0-2-8-7   |   61   |
|    8       |   0-2-8   |   47   |
|    9       |   0-9   |   81   |
Routing Table for Node No. 0 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-4-1   |   43   |
|    2       |   0-2   |   21   |
|    3       |   0-2-8-7-3   |   135   |
|    4       |   0-4   |   21   |
|    5       |   0-2-5   |   93   |
|    6       |   0-6   |   66   |
|    7       |   0-2-8-7   |   61   |
|    8       |   0-2-8   |   47   |
|    9       |   0-9   |   69   |
