Routing Table for Node No. 4 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   28   |
|    1       |   4-1   |   30   |
|    2       |   4-0-2   |   48   |
|    3       |   4-0-2-8-3   |   211   |
|    5       |   4-0-2-5   |   125   |
|    6       |   4-0-6   |   69   |
|    7       |   4-0-2-8-7   |   135   |
|    8       |   4-0-2-8   |   124   |
|    9       |   4-1-9   |   96   |
Routing Table for Node No. 4 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   33   |
|    1       |   4-1   |   24   |
|    2       |   4-0-2   |   53   |
|    3       |   4-0-2-8-3   |   216   |
|    5       |   4-0-2-5   |   130   |
|    6       |   4-0-6   |   74   |
|    7       |   4-0-2-8-7   |   140   |
|    8       |   4-0-2-8   |   129   |
|    9       |   4-1-9   |   90   |
Routing Table for Node No. 4 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   52   |
|    1       |   4-1   |   23   |
|    2       |   4-0-2   |   72   |
|    3       |   4-0-2-8-3   |   235   |
|    5       |   4-0-2-5   |   149   |
|    6       |   4-0-6   |   93   |
|    7       |   4-0-2-8-7   |   159   |
|    8       |   4-0-2-8   |   148   |
|    9       |   4-1-9   |   89   |
Routing Table for Node No. 4 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   56   |
|    1       |   4-1   |   28   |
|    2       |   4-0-2   |   76   |
|    3       |   4-0-2-8-3   |   239   |
|    5       |   4-0-2-5   |   153   |
|    6       |   4-0-6   |   97   |
|    7       |   4-0-2-8-7   |   163   |
|    8       |   4-0-2-8   |   152   |
|    9       |   4-1-9   |   94   |
Routing Table for Node No. 4 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   51   |
|    1       |   4-1   |   21   |
|    2       |   4-0-2   |   71   |
|    3       |   4-0-2-8-3   |   234   |
|    5       |   4-0-2-5   |   148   |
|    6       |   4-0-6   |   92   |
|    7       |   4-0-2-8-7   |   158   |
|    8       |   4-0-2-8   |   147   |
|    9       |   4-1-9   |   87   |
Routing Table for Node No. 4 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   55   |
|    1       |   4-1   |   26   |
|    2       |   4-0-2   |   75   |
|    3       |   4-0-2-8-3   |   238   |
|    5       |   4-0-2-5   |   152   |
|    6       |   4-0-6   |   96   |
|    7       |   4-0-2-8-7   |   162   |
|    8       |   4-0-2-8   |   151   |
|    9       |   4-1-9   |   92   |
Routing Table for Node No. 4 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   55   |
|    1       |   4-1   |   27   |
|    2       |   4-0-2   |   75   |
|    3       |   4-0-2-8-3   |   238   |
|    5       |   4-0-2-5   |   152   |
|    6       |   4-0-6   |   96   |
|    7       |   4-0-2-8-7   |   162   |
|    8       |   4-0-2-8   |   151   |
|    9       |   4-1-9   |   93   |
Routing Table for Node No. 4 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   54   |
|    1       |   4-1   |   25   |
|    2       |   4-0-2   |   74   |
|    3       |   4-0-2-8-3   |   237   |
|    5       |   4-0-2-5   |   151   |
|    6       |   4-0-6   |   95   |
|    7       |   4-0-2-8-7   |   161   |
|    8       |   4-0-2-8   |   150   |
|    9       |   4-1-9   |   91   |
Routing Table for Node No. 4 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   55   |
|    1       |   4-1   |   27   |
|    2       |   4-0-2   |   75   |
|    3       |   4-0-2-8-3   |   238   |
|    5       |   4-0-2-5   |   152   |
|    6       |   4-0-6   |   96   |
|    7       |   4-0-2-8-7   |   162   |
|    8       |   4-0-2-8   |   151   |
|    9       |   4-1-9   |   93   |
